table,row_index,col_index,cell
table_a3,4,7,
table_a3,4,8,
table_a3,4,9,(2.5)
table_a3,5,1,docs
table_a3,5,2,
table_a3,5,3,Independent
table_a3,5,4,59.2
table_a3,5,5,56.7
table_a3,5,6,2.5*
table_a3,5,7,39.6
table_a3,5,8,15.3
table_a3,5,9,24.2*
table_a3,6,1,docs
table_a3,6,2,
table_a3,6,3,
table_a3,6,4,
table_a3,6,5,
table_a3,6,6,(1.0)
table_a3,6,7,
table_a3,6,8,
table_a3,6,9,(4.4)
table_a3,7,1,general
table_a3,7,2,Vote for Trump
table_a3,7,3,Republican
table_a3,7,4,64.8
table_a3,7,5,61.4
table_a3,7,6,3.4
table_a3,7,7,33.8
table_a3,7,8,15.3
table_a3,7,9,18.5*
table_a3,8,1,general
table_a3,8,2,(general election)
table_a3,8,3,
table_a3,8,4,
table_a3,8,5,
table_a3,8,6,(3.1)
table_a3,8,7,
table_a3,8,8,
table_a3,8,9,(7.4)
table_a3,9,1,general
table_a3,9,2,
table_a3,9,3,Democrat
table_a3,9,4,8.5
table_a3,9,5,7.9
table_a3,9,6,+0.5
table_a3,9,7,7.1
table_a3,9,8,61.8
table_a3,9,9,-54.7*
table_a3,10,1,general
table_a3,10,2,
table_a3,10,3,
table_a3,10,4,
table_a3,10,5,
table_a3,10,6,(0.7)
table_a3,10,7,
table_a3,10,8,
table_a3,10,9,(2.6)
table_a3,11,1,general
table_a3,11,2,
table_a3,11,3,Independent
table_a3,11,4,37.5
table_a3,11,5,37.0
table_a3,11,6,+0.6
table_a3,11,7,19.0
table_a3,11,8,32.6
table_a3,11,9,-13.6*
table_a3,12,1,general
table_a3,12,2,
table_a3,12,3,
table_a3,12,4,
table_a3,12,5,
table_a3,12,6,(1.0)
table_a3,12,7,
table_a3,12,8,
table_a3,12,9,(4.8)
table_a3,13,1,primary
table_a3,13,2,Vote for Trump
table_a3,13,3,Republican
table_a3,13,4,67.4
table_a3,13,5,69.1
table_a3,13,6,-1.6*
table_a3,13,7,45.8
table_a3,13,8,14.1
table_a3,13,9,31.7*
table_a3,14,1,primary
table_a3,14,2,(primary election)
table_a3,14,3,
table_a3,14,4,
table_a3,14,5,
table_a3,14,6,(0.6)
table_a3,14,7,
table_a3,14,8,
table_a3,14,9,(3.0)
table_a3,15,1,primary
table_a3,15,2,
table_a3,15,3,Democrat
table_a3,15,4,35.3
table_a3,15,5,33.7
table_a3,15,6,+1.6
table_a3,15,7,21.0
table_a3,15,8,39.9
table_a3,15,9,-18.9
table_a3,16,1,primary
table_a3,16,2,
table_a3,16,3,
table_a3,16,4,
table_a3,16,5,
table_a3,16,6,(1.1)
table_a3,16,7,
table_a3,16,8,
table_a3,16,9,(15.7)
table_a3,17,1,primary
table_a3,17,2,
table_a3,17,3,Independent
table_a3,17,4,42.5
table_a3,17,5,44.9
table_a3,17,6,-2.3
table_a3,17,7,23.4
table_a3,17,8,27.4
table_a3,17,9,-4.0
table_a3,18,1,primary
table_a3,18,2,
table_a3,18,3,
table_a3,18,4,
table_a3,18,5,
table_a3,18,6,(2.6)
table_a3,18,7,
table_a3,18,8,
table_a3,18,9,(12.2)
